PERMEN LHK. 3/0,UU. 5/1990,PP. 13/1994,PP. 18/1994,PP. 68/1998,UU. 41/1999,PP. 7/1999,PP. 8/1999,PP. 34/2002,PP. 35/2002,PP. 63/2002,UU. 19/2004,PP. 44/2004,PP. 45/2004,PERMEN LH. 10/2006,PERMEN LH. 11/2006,PERMEN LH. 12/2006,PERMEN LH. 14/2006,UU. 16/2006,PERMEN LH. 2/2006,PERMEN LH. 3/2006
Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.15/Menlhk/Setjen/Kum.1/5/2018 tentang Kawasan Hutan dengan Tujuan Khusus,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.16/Menlhk/Setjen/Kkl.1/5/2018 tentang Pengoperasian Pesawat Udara Tanpa Awak Lingkup Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.17/Menlhk/Setjen/Kum.1/5/2018 tentang Tata Cara Pelepasan Kawasan Hutan dan Perubahan Batas Kawasan Hutan Untuk Sumber Tanah Obyek Reforma Agraria,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.18/Menlhk/Setjen/Kum.1/5/2018 tentang Pelayanan Informasi Publik di lingkungan Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.19/Menlhk/Setjen/Kum.1/5/2018 tentang Pedoman Penyelenggaraan Statistik Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.2/Menlhk/Setjen/Kum.1/1/2018 tentang Akses pada Sumber Daya Genetik Spesies Liar dan Pembagian Keuntungan atas Pemanfaatannya,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.20/Menlhk/Setjen/Kum.1/6/2018 tentang Jenis Tumbuhan dan Satwa Yang Dilindungi,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.21/Menlhk/Setjen/Kum.1/7/2018 tentang Perubahan Atas Peraturan Menteri Lingkungan Hidup Nomor 5 Tahun 2014 tentang Baku Mutu Air Limbah,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.22/Menlhk/Setjen/Kum.1/7/2018 tentang Norma, Standar, Prosedur, dan Kriteria Pelayanan Perizinan Terintegrasi Secara Elektronik lingkup Kementerian Lingkungan Hidup dan Kehutanan",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.23/Menlhk/Setjen/Kum.1/7/2018 tentang Kriteria Perubahan Usaha dan/atau Kegiatan dan Tata Cara Perubahan Izin Lingkungan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.24/Menlhk/Setjen/Kum.1/7/2018 tentang Pengecualian Kewajiban Menyusun Analisis Mengenai Dampak Lingkungan Untuk Usaha dan/atau Kegiatan yang Berlokasi di Daerah Kabupaten/Kota yang Telah Memili,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.25/Menlhk/Setjen/Kum.1/7/2018 tentang Pedoman Penetapan Jenis Rencana Usaha dan/atau Kegiatan yang Wajib Memiliki Upaya Pengelolaan Lingkungan Hidup dan Upaya Pemantauan Lingkungan Hidup dan Su,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.26/Menlhk/Setjen/Kum.1/7/2018 tentang Pedoman Penyusunan dan Penilaian Serta Pemeriksaan Dokumen Lingkungan Hidup dalam Pelaksanaan Pelayanan Perizinan Berusaha Terintegrasi Secara Elektronik,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.27/Menlhk/Setjen/Kum.1/7/2018 tentang Pedoman Pinjam Pakai Kawasan Hutan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.28/Menlhk/Setjen/Kum.1/7/2018 tentang Tata Cara Pemberian, Perluasan Areal Kerja dan Perpanjangan Izin Usaha Pemanfaatan Hasil Hutan Kayu Dalam Hutan Alam, Izin Usaha Pemanfaatan Hasil Hutan Ka",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.3/Menlhk/Setjen/Kum.1/2/2018 tentang Kerangka Kualifikasi Nasional Indonesia dan Sertifikasi Kompetensi Pengambil Contoh Uji Air,Percepatan Pembangunan Instalasi Pengolah Sampah Menjadi Energi Listrik Berbasis Teknologi Ramah Lingkungan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.4/Menlhk/Setjen/Kum.1/2/2018 tentang Tata Cara Pengelolaan Pengaduan atas Dugaan Pelanggaran oleh Aparatur Sipil Negara lingkup Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.5/Menlhk/Setjen/Kum.1/2/2018 tentang Standar dan Sertifikasi Kompetensi Penanggung Jawab Operasional Pengolahan Air Limbah dan Penanggung Jawab Pengendalian Pencemaran Air,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.6/Menlhk/Setjen/Kum.1/2/2018 tentang Standar dan Sertifikasi Kompetensi Penanggung Jawab Operasional Instalasi Pengendalian Pencemaran Udara dan Penanggung Jawab Pengendalian Pencemaran Udara,Penanganan Dampak Sosial Kemasyarakatan dalam Rangka Penyediaan Tanah untuk Pembangunan Nasional
PERMEN LHK. 7/2018,KEPPRES. 77/2018,PERMEN LHK. 8/2018,PERMEN LHK. 83/2018,KEPPRES. 83/2018,PERMEN LHK. 85/2018,PERMEN LHK. 86/2018,KEPPRES. 86/2018,PERMEN LHK. 86/2018,PERMEN LHK. 87/2018,PERMEN LHK. 88/2018,PERMEN LHK. 89/2018,PERMEN LHK. 9/2018,PERMEN LHK. 9/2018,PERMEN LHK. 90/2018,PERMEN LHK. 92/2018,PERMEN LHK. 93/2018,PERMEN LHK. 94/2018,KEPPRES. 95/2018,PERMEN LHK. 95/2018,PERMEN LHK. 96/2018
"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.7/Menlhk/Setjen/Kum.1/2/2018 tentang Pedoman Kajian Kerentanan, Risiko, dan Dampak Perubahan Iklim",Pengelolaan Dana Lingkungan Hidup,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.8/Menlhk/Setjen/Kum.1/3/2018 tentang Prosedur Tetap Pengecekan Lapangan Informasi Titik Panas dan/atau Informasi Kebakaran Hutan dan Lahan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.83/Menlhk/Setjen/Kum.1/7/2018 tentang Tata Hubungan Kerja Pelaksanaan Penegakan Hukum bidang Lingkungan Hidup dan Kehutanan di Daerah,Penanganan Sampah Laut,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.85/Menlhk/Setjen/Kum.1/8/2018 tentang Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.86/Menlhk/Setjen/Kum.1/7/2018 tentang Tata Cara Pemberian Tunjangan Kinerja bagi Pegawai di Lingkungan Kementerian Lingkungan Hidup dan Kehutanan,Reforma Agraria,Peraturan Presiden Republik Indonesia Nomor 86 Tahun 2018 tentang Reforma Agraria,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.87/Menlhk/Setjen/Kum.1/7/2018 tentang Laporan Harta Kekayaan Penyelenggara Negara dan Aparatur Sipil Negara lingkup Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.88/Menlhk/Setjen/Kum.1/8/2018 tentang Kebun Bibit Rakyat,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.89/Menlhk/Setjen/Kum.1/8/2018 tentang Pedoman Kelompok Tani Hutan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.9/Menlhk/Setjen/Kum.1/3/2018 tentang Kriteria Teknis Status Kesiagaan dan Darurat Kebakaran Hutan dan Lahan,Undang-Undang Republik Indonesia Nomor 9 Tahun 2018 tentang Penerimaan Negara Bukan Pajak,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.90/Menlhk/Setjen/Kum.1/8/2018 tentang Penugasan Khusus dan Penarikannya bagi Pegawai negeri Sipil Lingkup Kementerian Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.91/Menlhk/Setjen/Kum.1/8/2018 tentang Perubahan atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.20/Menlhk/Setjen/Kum.1/6/2018 tentang Jenis Tumbuhan dan Satwa Yang Dilindungi,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.93/Menlhk/Setjen/Kum.1/8/2018 tentang Pemantauan Kualitas Air Limbah Secara Terus Menerus dan Dalam Jaringan Bagi Usaha dan/atau Kegiatan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.94/Menlhk/Setjen/Kum.1/11/2018 tentang Rencana Kerja Kementerian Lingkungan Hidup dan Kehutanan Tahun 2019,Sistem Pemerintahan Berbasis Elektronik,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.95/Menlhk/Setjen/Kum.1/11/2018 tentang Perizinan Pengelolaan Limbah Bahan Berbahaya dan Beracun Terintegrasi dengan Izin Lingkungan Melalui Pelayanan Perizinan Berusaha Terintegrasi secara Elek,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.96/Menlhk/Setjen/Kum.1/11/2018 tentang Tata Cara Pelepasan Kawasan Hutan Produksi yang Dapat Dikonversi
PERMEN LHK. 97/2018,PERMEN LHK. 98/2018,PERMEN LHK. 99/2018,PERMEN LHK. 1/2019,PERMEN LHK. 10/2019,PERMEN LHK. 11/2019,PERMEN LHK. 13/2019,PERMEN LHK. 14/2019,PERMEN LHK. 15/2019,PERMEN LHK. 16/2019,PERMEN LHK. 17/2019,PERMEN LHK. 18/2019,PERMEN LHK. 19/2019,PERMEN LHK. 2/2019,PERMEN LHK. 20/2019,PERMEN LHK. 21/2019,PERMEN LHK. 22/2019,PERMEN LHK. 23/2019,PERMEN LHK. 24/2019,PERMEN LHK. 3/2019,PERMEN LHK. 33/2019
Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.97/Menlhk/Setjen/Kum.1/11/2018 tentang Tukar Menukar Kawasan Hutan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.98/Menlhk/Setjen/Kum.1/11/2018 tentang Tata Cara Penyusunan, Penilaian, dan Pengesahan Rencana Pengelolaan Hutan Kesatuan Pengelolaan Hutan Lindung dan Kesatuan Pengelolaan Hutan Produksi",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.99/Menlhk/Setjen/Kum.1/11/2018 tentang Perubahan atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.53/Menlhk/Setjen/Kum.1/6/2016 tentang Pedoman Pelaksanaan Program Adipura,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.1/Menlhk/Setjen/Kum.1/1/2019 tentang Izin Usaha Industri Primer Hasil Hutan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.10/Menlhk/Setjen/Kum.1/3/2019 tentang Penentuan, Penetapan dan Pengelolaan Puncak Kubah Gambut Berbasis Kesatuan Hidrologis Gambut",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.11/Menlhk/Setjen/Kum.1/3/2019 tentang Perubahan atas Peraturan Menteri Kehutanan Nomor P.30/Menhut-II/2014 tentang Inventarisasi Hutan Menyeluruh Berkala dan Rencana Kerja pada Usaha Pemanfaata,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.13/Menlhk/Setjen/Kum.1/4/2019 tentang Pendampingan Kegiatan Pembangunan di Bidang Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.14/Menlhk/Setjen/Kum.1/4/2019 tentang Penyusunan Programa Penyuluhan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.15/Menlhk/Setjen/Kum.1/4/2019 tentang Baku Mutu Emisi Pembangkit Listrik Tenaga Termal,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.16/Menlhk/Setjen/Kum.1/4/2019 tentang Perubahan Kedua atas Peraturan Menteri Lingkungan Hidup Nomor 5 Tahun 2014 tentang Baku Mutu Air Limbah,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.17/Menlhk/Setjen/Kum.1/4/2019 tentang Baku Mutu Emisi Bagi Usaha dan/atau Kegiatan Industri Pupuk dan Industri Amonium Nitrat,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.18/Menlhk/Setjen/Kum.1/4/2019 tentang Pemanfaatan Air dan Energi Air di Suaka Margasatwa, Taman Nasional, Taman Hutan Raya, dan Taman Wisata Alam","Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.19/Menlhk/Setjen/Kum.1/4/2019 tentang Perubahan atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.28/Menlhk/Setjen/Kum.1/7/2018 tentang Tata Cara Pemberian, Perluasan Areal Kerja da",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.2/Menlhk/Setjen/Kum.1/1/2019 tentang Pelimpahan Sebagian Urusan Pemerintahan Bidang Lingkungan Hidup dan Kehutanan Tahun 2019 Kepada 33 (Tiga Puluh Tiga) Gubernur sebagai Wakil Pemerintah Pusat,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.20/Menlhk/Setjen/Kum.1/4/2019 tentang Spesifikasi Teknis Kandang Transpor dan Kandang Transit Satwa Liar,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.21/Menlhk/Setjen/Kum.1/4/2019 tentang Hutan Adat dan Hutan Hak,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.22/Menlhk/Setjen/Kum.1/5/2019 tentang Lembaga Konservasi,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.23/Menlhk/Setjen/Kum.1/6/2019 tentang Jalan Strategis di Kawasan Hutan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.24/Menlhk/Setjen/Kum.1/5/2019 tentang Bantuan Biaya Layanan Pengolahan Sampah dalam Rangka Percepatan Pembangunan Instalasi Pengolah Sampah menjadi Energi Listrik Berbasis Teknologi Ramah Lingk,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.3/Menlhk/Setjen/Kum.1/1/2019 tentang Tata Cara Pelaksanaan Sebagian Urusan Pemerintahan Bidang Lingkungan Hidup dan Kehutanan Tahun 2019 yang Dilimpahkan kepada 33 (Tiga Puluh Tiga) Gubernur se,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.33/Menlhk/Setjen/Kum.1/6/2019 tentang Tata Cara Pengurusan Piutang Negara dari Penerimaan Negara Bukan Pajak lingkup Kementerian Lingkungan Hidup dan Kehutanan
PERMEN LHK. 34/2019,PERMEN LHK. 35/2019,PERMEN LHK. 37/2019,PERMEN LHK. 38/2019,PERMEN LHK. 4/2019,PERMEN LHK. 41/2019,PERMEN LHK. 42/2019,PERMEN LHK. 43/2019,PERMEN LHK. 49/2019,PERMEN LHK. 5/2019,PERMEN LHK. 50/2019,PERMEN LHK. 51/2019,PERMEN LHK. 52/2019,PERMEN LHK. 52/2019,PERMEN LHK. 53/2019,PERMEN LHK. 54/2019,PERMEN LHK. 55/2019,PERMEN LHK. 56/2019,PERMEN LHK. 57/2019,PERMEN LHK. 59/2019,PERMEN LHK. 6/2019
Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.34/Menlhk/Setjen/Kap.1/6/2019 tentang Pendelegasian Sebagian Wewenang Pengguna Barang di Lingkungan Kementerian Lingkungan Hidup dan Kehutanan dalam Pelaksanaan Hibah Barang Milik Negara yang d,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.35/Menlhk/Setjen/Kum.1/6/2019 tentang Pengangkatan Pegawai Negeri Sipil dalam Jabatan Fungsional Binaan Kementerian Lingkungan Hidup dan Kehutanan melalui Penyesuaian/Inpassing,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.37/Menlhk/Setjen/Kum.1/7/2019 tentang Perhutanan Sosial pada Ekosistem Gambut,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.38/Menlhk/Setjen/Kum.1/7/2019 tentang Jenis Rencana Usaha dan/atau Kegiatan yang Wajib Memiliki Analisis Mengenai Dampak Lingkungan Hidup,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.4/Menlhk/Setjen/Kum.1/1/2019 tentang Pemanfaatan Jasa Lingkungan Panas Bumi pada Kawasan Taman Nasional, Taman Hutan Raya, dan Taman Wisata Alam",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.41/Menlhk/Setjen/Kum.1/7/2019 tentang Rencana Kehutanan Tingkat Nasional Tahun 2011-2030,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.42/Menlhk.Setjen/Kum.1/8/2019 tentang Perubahan Atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.17/Menlhk/Setjen/Kum.1/5/2018 tentang Tata Cara Pelepasan Kawasan Hutan dan Perubah,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.43/Menlhk/Setjen/Set.1/8/2019 tentang Mekanisme Penyusunan Rencana Kerja dan Anggaran Kementerian Lingkungan Hidup dan Kehutanan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.49/MENLHK/SETJEN/KUM.1/8/2019 tentang Pencabutan Peraturan Menteri Lingkungan Hidup dan kehutanan Nomor P.29/MENLHK/SETJEN/PHPL.3/2/2016 tentang Pembatalan Pengenaan, Pemungutan dan Penyetoran",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.5/Menlhk/Setjen/Kum.1/2/2019 tentang Tata Cara Penerapan Label Ramah Lingkungan Hidup untuk Pengadaan Barang dan Jasa Ramah Lingkungan Hidup,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.50/Menlhk/Setjen/Kum.1/9/2019 Tentang Perubahan Atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.96/Menlhk/Setjen/Kum.1/11/2018 Tentang Tata Cara Pelepasan Kawasan Hutan Produksi Y,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.51/Menlhk/Setjen/Kum.1/9/2019 tentang Perubahan Kedua Atas Peraturan Menteri Kehutanan Nomor P.56/Menhut-II/2008 tentang Tata Cara Penentuan Luas Areal Terganggu dan Areal Reklamasi dan Reveget,Peraturan Presiden Republik Indonesia Nomor 52 Tahun 2019 tentang Pengesahan Statute for the Standards and Metrology Institute for Islamic Countries (Statuta Institut Standar dan Metrologi untuk Negara Islam),Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.52/Menlhk/Setjen/Kum.1/9/2019 tentang Gerakan Peduli dan Berbudaya Lingkungan Hidup di Sekolah,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.53/Menlhk/Setjen/Kum.1/9/2019 tentang Penghargaan Adiwiyata,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.54/Menlhk/Setjen/Kum.1/9/2019 tentang Audit Kepatuhan Terhadap Pemegang Izin Usaha Pemanfaatan Hasil Hutan Kayu, Izin Pemanfaatan Kayu, Izin Pinjam Pakai Kawasan Hutan, Hak Guna Usaha, dan Izin",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.55/Menlhk/Setjen/Kum.1/9/2019 tentang Pengelolaan Arsip Vital di Kementerian Lingkungan Hidup dan Kehutanan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.56/Menlhk/Setjen/Kum.1/10/2019 tentang Baku Mutu Kebisingan Kendaraan Bermotor Tipe Baru dan Kendaraan Bermotor yang sedang Diproduksi Kategori M, Kategori N, dan Kategori L",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.57/Menlhk/Setjen/Keu.1/10/2019 tentang Pelaksanaan Konfirmasi Status Wajib Pajak di Bidang Lingkungan Hidup dan Kehutanan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.59/Menlhk/Setjen/Kum.1/10/2019 tentang Penanaman Dalam Rangka Rehabilitasi Daerah Aliran Sungai,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.6/Menlhk/Setjen/Kum.1/2/2019 tentang Penugasan Sebagian Urusan Pemerintahan Bidang Lingkungan Hidup dan Kehutanan untuk Kegiatan Restorasi Gambut Tahun Anggaran 2019 kepada Gubernur Riau, Guber"
PERMEN LHK. 60/2019,PERMEN LHK. 62/2019,PERMEN LHK. 63/2019,PERMEN LHK. 64/2019,PERMEN LHK. 65/2019,PERMEN LHK. 66/2019,PERMEN LHK. 67/2019,PERMEN LHK. 68/2019,PERMEN LHK. 69/2019,PERMEN LHK. 7/2019,PERMEN LHK. 70/2019,PERMEN LHK. 71/2019,PERMEN LHK. 73/2019,PERMEN LHK. 74/2019,PERMEN LHK. 75/2019,PERMEN LHK. 76/2019,PERMEN LHK. 77/2019,PERMEN LHK. 78/2019,PERMEN LHK. 79/2019,PERMEN LHK. 8/2019,PERMEN LHK. 80/2019
"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.60/Menlhk/Setjen/Kum.1/10/2019 tentang Tata Cara Penyusunan, Penetapan, dan Perubahan Rencana Perlindungan dan Pengelolaan Ekosistem Gambut",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.62/Menlhk/Setjen/Kum.1/10/2019 tentang Pembangunan Hutan Tanaman Industri,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.63/Menlhk/Setjen/Set.1/10/2019 tentang Tata Cara Penyusunan Rencana Strategis Lingkup Kementerian Lingkungan Hidup dan Kehutanan Tahun 2020-2024,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.64/Menlhk/Setjen/Kum.1/10/2019 tentang Tata Cara Pemanfaatan Kayu dan/atau Pengenaan Penerimaan Negara Bukan Pajak Atas Pemanfaatan Hasil Hutan Kayu pada Kegiatan Usaha Perkebunan yang Mempero,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.65/Menlhk/Setjen/Kum.1/10/2019 tentang Tata Cara Penyelesaian Areal Permukiman Dalam Kawasan Hutan,Peraturan Menteri Lingkungan Hidup dan kehutanan Nomor P.66/Menlhk/Setjen/Kum.1/10/2019 tentang Penatausahaan Hasil Hutan Kayu Yang Berasal Dari Hutan Alam,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.67/Menlhk/Setjen/Kum.1/10/2019 tentang Penatausahaan Hasil Hutan Kayu Yang Berasal Dari Hutan Tanaman Pada Hutan Produksi,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.68/Menlhk/Setjen/Kum.1/10/2019 tentang Pengukuran dan/atau Pengujian Hasil Hutan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.69/Menlhk/Setjen/Kum.1/10/2019 tentang Tata Cara Penetapan Peta Indikatif Arahan Pemanfaatan Hutan Pada Kawasan Hutan Produksi Yang Tidak Dibebani Izin Untuk Usaha Pemanfaatan Hasil Hutan Kayu,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.7/Menlhk/Setjen/Kum.1/2/2019 tentang Perubahan atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.27/Menlhk/Setjen/Kum.1/7/2018 tentang Pedoman Pinjam Pakai Kawasan Hutan,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.70/Menlhk/Setjen/Kum.1/10/2019 tentang Tenaga Teknis Pengelolaan Hutan Produksi Lestari Dalam Pengelolaan dan Pemanfaatan Hutan Pada Hutan Produksi,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.71/Menlhk/Setjen/Kum.1/10/2019 tentang Pelaporan Keuangan Pemanfaatan Hutan Produksi,Peraturan Menteri Llingkungan Hidup dan Kehutanan Nomor P.73/Menlhk/Setjen/Kum.1/10/2019 tentang Kerangka Kualifikasi Nasional Indonesia dan Sertifikasi Kompetensi Kerja Bagi Teknisi Refrigerasi dan Teknisi Tata Udara,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.74/Menlhk/Setjen/Kum.1/10/2019 tentang Program Kedaruratan Pengelolaan Bahan Berbahaya dan Beracun dan/atau Limbah Bahan Berbahaya dan Beracun,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.75/Menlhk/Setjen/Kum.1/10/2019 tentang Peta Jalan Pengurangan Sampah Oleh Produsen,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.76/Menlhk/Setjen/Kum.1/10/2019 tentang Adipura,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.77/Menlhk/Setjen/Kum.1/10/2019 tentang Pemanfaatan Hasil Hutan Bukan Kayu Pada Hutan Produksi dan Pemungutan Hasil Hutan Bukan Kayu Pada Hutan Negara,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.78/Menlhk/Setjen/Kum.1/10/2019 tentang Penatausahaan Hasil Hutan Kayu Yang Berasal Dari Hutan Negara,Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.79/Menlhk/Setjen/Kum.1/10/2019 tentang Pengelolaan Perpustakaan Khusus Lingkup Kementerian Lingkungan Hidup dan Kehutanan,"Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.8/Menlhk/Setjen/Kum.1/3/2019 tentang Pengusahaan Pariwisata Alam di Suaka Margasatwa, Taman Nasional, Taman Hutan Raya, dan Taman Wisata Alam",Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.80/Menlhk/Setjen/Kum.1/10/2019 tentang Perubahan Atas Peraturan Menteri Lingkungan Hidup dan Kehutanan Nomor P.93/Menlhk/Setjen/Kum.1/8/2018 tentang Pemantauan Kualitas Air Limbah Secara Terus
PERMEN LHK. 81/2019,PERMEN LHK. 82/2019,PERMEN LHK. 83/2019,PERMEN LHK. 9/2019,PERMEN LHK. 2/2020,PERMEN LHK. 3/2020,PERMEN LHK. 4/2020,PERMEN LHK. 5/2020,PERMEN LHK. 6/2020,PERMEN LHK. 7/2020,PERMEN LHK. 8/2020,,,,,,,,,,
